Date,DailyBirth
1/1/19,36
1/2/19,93
1/3/19,8
1/4/19,50
1/5/19,7
1/6/19,25
1/7/19,65
1/8/19,48
1/9/19,19
1/10/19,73
1/11/19,47
1/12/19,4
1/13/19,14
1/14/19,10
1/15/19,62
1/16/19,19
1/17/19,97
1/18/19,7
1/19/19,9
1/20/19,61
1/21/19,30
1/22/19,38
1/23/19,21
1/24/19,66
1/25/19,67
1/26/19,19
1/27/19,97
1/28/19,81
1/29/19,88
1/30/19,62
1/31/19,81
2/1/19,6
2/2/19,40
2/3/19,41
2/4/19,90
2/5/19,11
2/6/19,37
2/7/19,26
2/8/19,72
2/9/19,20
2/10/19,98
2/11/19,47
2/12/19,45
2/13/19,62
2/14/19,10
2/15/19,89
2/16/19,31
2/17/19,35
2/18/19,80
2/19/19,2
2/20/19,17
2/21/19,36
2/22/19,51
2/23/19,33
2/24/19,64
2/25/19,90
2/26/19,91
2/27/19,49
2/28/19,16
3/1/19,17
3/2/19,57
3/3/19,65
3/4/19,22
3/5/19,15
3/6/19,47
3/7/19,56
3/8/19,35
3/9/19,7
3/10/19,28
3/11/19,17
3/12/19,7
3/13/19,98
3/14/19,77
3/15/19,49
3/16/19,87
3/17/19,33
3/18/19,30
3/19/19,71
3/20/19,25
3/21/19,38
3/22/19,65
3/23/19,93
3/24/19,2
3/25/19,87
3/26/19,58
3/27/19,56
3/28/19,65
3/29/19,69
3/30/19,48
3/31/19,7
4/1/19,22
4/2/19,1
4/3/19,84
4/4/19,89
4/5/19,74
4/6/19,59
4/7/19,56
4/8/19,29
4/9/19,70
4/10/19,84
4/11/19,64
4/12/19,40
4/13/19,94
4/14/19,0
4/15/19,39
4/16/19,12
4/17/19,16
4/18/19,87
4/19/19,12
4/20/19,14
4/21/19,80
4/22/19,58
4/23/19,2
4/24/19,0
4/25/19,80
4/26/19,86
4/27/19,93
4/28/19,93
4/29/19,25
4/30/19,57
5/1/19,59
5/2/19,51
5/3/19,58
5/4/19,3
5/5/19,60
5/6/19,42
5/7/19,10
5/8/19,53
5/9/19,98
5/10/19,50
5/11/19,39
5/12/19,93
5/13/19,51
5/14/19,90
5/15/19,92
5/16/19,32
5/17/19,92
5/18/19,85
5/19/19,63
5/20/19,96
5/21/19,9
5/22/19,30
5/23/19,51
5/24/19,59
5/25/19,5
5/26/19,78
5/27/19,46
5/28/19,12
5/29/19,4
5/30/19,13
5/31/19,92
6/1/19,55
6/2/19,25
6/3/19,22
6/4/19,99
6/5/19,22
6/6/19,52
6/7/19,13
6/8/19,75
6/9/19,21
6/10/19,55
6/11/19,39
6/12/19,37
6/13/19,46
6/14/19,40
6/15/19,46
6/16/19,82
6/17/19,9
6/18/19,0
6/19/19,26
6/20/19,81
6/21/19,80
6/22/19,37
6/23/19,5
6/24/19,97
6/25/19,50
6/26/19,11
6/27/19,66
6/28/19,42
6/29/19,39
6/30/19,37
7/1/19,57
7/2/19,55
7/3/19,71
7/4/19,51
7/5/19,20
7/6/19,77
7/7/19,80
7/8/19,71
7/9/19,9
7/10/19,87
7/11/19,38
7/12/19,2
7/13/19,47
7/14/19,61
7/15/19,26
7/16/19,93
